T,variant,run,time_ms
1024,optimised,13,2.26181
1024,optimised,14,2.30092
1024,optimised,15,2.37831
1024,optimised,16,2.02966
1024,optimised,17,2.64133
1024,optimised,18,2.37726
1024,optimised,19,2.44312
1024,optimised,20,2.2132
1024,optimised,21,2.32907
1024,optimised,22,2.34283
1024,optimised,23,2.61165
1024,optimised,24,2.40631
1024,optimised,25,2.25099
1024,optimised,26,2.20042
1024,optimised,27,2.25483
1024,optimised,28,2.85169
1024,optimised,29,2.25308
1024,optimised,30,2.23939
2048,normal,1,4.01511
2048,normal,2,3.6103
2048,normal,3,4.06225
2048,normal,4,3.91104
2048,normal,5,3.501
2048,normal,6,3.87549
2048,normal,7,4.00065
2048,normal,8,4.01154
2048,normal,9,3.95595
2048,normal,10,3.89183
2048,normal,11,3.89519
2048,normal,12,3.92815
2048,normal,13,3.87005
2048,normal,14,3.86977
2048,normal,15,3.13441
2048,normal,16,6.14352
2048,normal,17,3.86774
2048,normal,18,3.36551
2048,normal,19,3.93241
2048,normal,20,3.93584
2048,normal,21,3.95085
2048,normal,22,3.86858
2048,normal,23,4.27254
2048,normal,24,3.79846
2048,normal,25,3.92794
2048,normal,26,4.05499
2048,normal,27,3.98039
2048,normal,28,4.00819
2048,normal,29,3.86942
2048,normal,30,3.97711
2048,optimised,1,3.86208
2048,optimised,2,3.95853
2048,optimised,3,3.90119
2048,optimised,4,3.88276
2048,optimised,5,3.99429
2048,optimised,6,3.89686
2048,optimised,7,3.92739
2048,optimised,8,3.71982
2048,optimised,9,3.90776
2048,optimised,10,3.94233
2048,optimised,11,3.84309
2048,optimised,12,3.90182
2048,optimised,13,4.08676
2048,optimised,14,3.89065
2048,optimised,15,3.98207
2048,optimised,16,3.96007
2048,optimised,17,3.9093
2048,optimised,18,4.04807
2048,optimised,19,3.85677
2048,optimised,20,4.07831
2048,optimised,21,4.08544
2048,optimised,22,4.10192
2048,optimised,23,3.79483
2048,optimised,24,3.24043
2048,optimised,25,4.01294
2048,optimised,26,3.88213
2048,optimised,27,4.22721
2048,optimised,28,3.8662
2048,optimised,29,3.94582
2048,optimised,30,3.86585
4096,normal,1,7.11871
4096,normal,2,7.34276
4096,normal,3,7.08484
4096,normal,4,7.50081
4096,normal,5,7.36462
4096,normal,6,7.37859
4096,normal,7,7.31196
4096,normal,8,7.30274
4096,normal,9,7.21914
4096,normal,10,7.39682
4096,normal,11,7.29555
4096,normal,12,7.27571
4096,normal,13,7.11012
4096,normal,14,7.29087
4096,normal,15,7.34046
4096,normal,16,7.24946
4096,normal,17,7.3142
4096,normal,18,6.5435
4096,normal,19,7.7741
4096,normal,20,7.32572
4096,normal,21,7.27369
4096,normal,22,7.65209
4096,normal,23,7.53755
4096,normal,24,7.28019
4096,normal,25,7.35519
4096,normal,26,7.1845
4096,normal,27,7.30484
4096,normal,28,7.36337
4096,normal,29,7.18094
4096,normal,30,7.19547
4096,optimised,1,6.84619
4096,optimised,2,8.18707
4096,optimised,3,7.20846
4096,optimised,4,7.47218
4096,optimised,5,8.10187
4096,optimised,6,7.19484
4096,optimised,7,5.98819
4096,optimised,8,7.49837
4096,optimised,9,7.45835
4096,optimised,10,7.2915
4096,optimised,11,7.2065
4096,optimised,12,7.13485
4096,optimised,13,7.32998
4096,optimised,14,7.26901
4096,optimised,15,7.86399
4096,optimised,16,7.30135
4096,optimised,17,7.27488
4096,optimised,18,7.29143
4096,optimised,19,7.31517
4096,optimised,20,7.38963
4096,optimised,21,7.24086
4096,optimised,22,7.27208
4096,optimised,23,7.20601
4096,optimised,24,7.28444
4096,optimised,25,8.16759
4096,optimised,26,7.42203
4096,optimised,27,7.34779
4096,optimised,28,7.61137
4096,optimised,29,7.23814
4096,optimised,30,8.26872
